restaurant_name,title,description,day_of_week,start_time,end_time,deal_type,price,website_url,scraped_at
Jax Fish House,Monday - All Night Happy Hour,,Monday,,,weekly_special,,https://www.jaxfishhouse.com/lodo-menu/,2025-08-12 20:16:53
Jax Fish House,Tuesday - Tostada Tuesday,"two chile lime fish tostadas | lime aioli, pickled red onion, avocado, spring greens, citrus cremajax classic q-coin margarita | astral reposado tequila, lime, cucumber, orange",Tuesday,,,weekly_special,$25.00,https://www.jaxfishhouse.com/lodo-menu/,2025-08-12 20:16:53
Jax Fish House,Wednesday - Wine Not Wednesday,40% - 50% off select bottles of wine,Wednesday,,,weekly_special,,https://www.jaxfishhouse.com/lodo-menu/,2025-08-12 20:16:53
Jax Fish House,Sunday - Cioppino Night,"2-9pma seafood stew featuring dungeness crab, fresh fish, mussels, clam meat, squid and shrimp, tomato-garlic broth served with grilled sourdough.
Cioppino for two and a bottle of wine $90
Wine Selections:Red: Nero d'Avola, Corto Di Passo | White: Verdiccio, Le Vaglie Castelli Di Jesi | Bubbly: Prosecco, Di Treviso",Sunday,2:00 PM,9:00 PM,weekly_special,,https://www.jaxfishhouse.com/lodo-menu/,2025-08-12 20:16:53
Jax Fish House,Monday All Night Happy Hour,All day happy hour specials,Monday,All Day,All Day,happy_hour,,https://www.jaxfishhouse.com/lodo-menu/,2025-08-12 20:16:53
Jax Fish House,Weekday Happy Hour,Happy hour specials Tuesday through Saturday,"Tuesday,Wednesday,Thursday,Friday,Saturday",3:00 PM,6:00 PM,happy_hour,,https://www.jaxfishhouse.com/lodo-menu/,2025-08-12 20:16:53
Jax Fish House,Sunday Happy Hour,Sunday happy hour specials,Sunday,2:00 PM,6:00 PM,happy_hour,,https://www.jaxfishhouse.com/lodo-menu/,2025-08-12 20:16:53
Jax Fish House,CRACKERJAX OYSTERS*,"Our proprietary, house selected oyster on the half shell from the Rappahannock River Co","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Happy Hour,Happy Hour,food,$2.00,https://www.jaxfishhouse.com/lodo-menu/,2025-08-12 20:16:53
Jax Fish House,West Coast Oyster*,selection rotates,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Happy Hour,Happy Hour,food,$3.00,https://www.jaxfishhouse.com/lodo-menu/,2025-08-12 20:16:53
Jax Fish House,Chargrilled Oyster*,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Happy Hour,Happy Hour,food,$4.00,https://www.jaxfishhouse.com/lodo-menu/,2025-08-12 20:16:53
Jax Fish House,JAX FISH SANDWICH,"lettuce, tartar sauce, salted cucumbers","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Happy Hour,Happy Hour,food,$13.00,https://www.jaxfishhouse.com/lodo-menu/,2025-08-12 20:16:53
Jax Fish House,CHILE LIME FISH TOSTADAS,"lime aioli, pickled red onion, avocado, spring greens, citrus crema","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Happy Hour,Happy Hour,food,$13.00,https://www.jaxfishhouse.com/lodo-menu/,2025-08-12 20:16:53
Jax Fish House,French Fries,"jax shake, ketchup","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Happy Hour,Happy Hour,food,$5.00,https://www.jaxfishhouse.com/lodo-menu/,2025-08-12 20:16:53
Jax Fish House,LOBSTER & ShRIMP DEVILED EGGS,"Lobster, shrimp, pickled mustard seed, scallions","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Happy Hour,Happy Hour,food,,https://www.jaxfishhouse.com/lodo-menu/,2025-08-12 20:16:53
Jax Fish House,GRILLED SHISHITOS,"sambal aioli, tempura scallions","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Happy Hour,Happy Hour,food,$10.00,https://www.jaxfishhouse.com/lodo-menu/,2025-08-12 20:16:53
Jax Fish House,Oyster Shooter*,"cucumber infused vodka, bloody mary, lemon","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Happy Hour,Happy Hour,food,$6.00,https://www.jaxfishhouse.com/lodo-menu/,2025-08-12 20:16:53
Jax Fish House,Cucumber Lemon Press,"cucumber infused vodka, lemonade, soda","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Happy Hour,Happy Hour,food,$8.00,https://www.jaxfishhouse.com/lodo-menu/,2025-08-12 20:16:53
Jax Fish House,STARBERY LEMONADE,"strawberry infused vodka, lemonade","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Happy Hour,Happy Hour,food,$8.00,https://www.jaxfishhouse.com/lodo-menu/,2025-08-12 20:16:53
Jax Fish House,Whiskey Tea,"earl grey infused whiskey, soda, vanilla","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Happy Hour,Happy Hour,food,$8.00,https://www.jaxfishhouse.com/lodo-menu/,2025-08-12 20:16:53
Jax Fish House,On Tap Cocktail,hand crafted rotating draft cocktail,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Happy Hour,Happy Hour,food,$8.00,https://www.jaxfishhouse.com/lodo-menu/,2025-08-12 20:16:53
Jax Fish House,JACK RABBIT HILL MARTINI,caprock mell vodka,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Happy Hour,Happy Hour,food,$12.00,https://www.jaxfishhouse.com/lodo-menu/,2025-08-12 20:16:53
Jax Fish House,ODELL LAGER,can,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Happy Hour,Happy Hour,food,$5.00,https://www.jaxfishhouse.com/lodo-menu/,2025-08-12 20:16:53
Jax Fish House,Draft Beer,$1 off,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Happy Hour,Happy Hour,food,,https://www.jaxfishhouse.com/lodo-menu/,2025-08-12 20:16:53
Jax Fish House,Sparkling,"MAS LA MOLA , “L’ATZAR” CAVA RESERVA, BRUT NATURE, PENEDES, ES","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Happy Hour,Happy Hour,food,$11.00,https://www.jaxfishhouse.com/lodo-menu/,2025-08-12 20:16:53
Jax Fish House,White,"HESS SHIRTTAIL RANCHES, CHARDONNAY, CA","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Happy Hour,Happy Hour,food,$11.00,https://www.jaxfishhouse.com/lodo-menu/,2025-08-12 20:16:53
Jax Fish House,Red,"CORTO DI PASSO, NERO DI AVOLA, SICILY, IT","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Happy Hour,Happy Hour,food,$11.00,https://www.jaxfishhouse.com/lodo-menu/,2025-08-12 20:16:53
Jax Fish House,White,"CHAIS SAINT-LAURENT, “LES JARRIERS”, SAUVIGNON BLANC, TOURAINE, FR","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Happy Hour,Happy Hour,food,$11.00,https://www.jaxfishhouse.com/lodo-menu/,2025-08-12 20:16:53
Hapa Sushi,Early Bird Happy Hour,Daily happy hour specials,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",2:30 PM,5:30 PM,happy_hour,,https://hapasushi.com/pages/lodo,2025-08-12 20:16:55
Hapa Sushi,Night Owl Happy Hour,Late night weekend specials,"Friday,Saturday",10:00 PM,12:00 AM,happy_hour,,https://hapasushi.com/pages/lodo,2025-08-12 20:16:55
Hapa Sushi,2 for $12 Sushi Rolls,Choose from select sushi rolls,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Happy Hour,Happy Hour,food,$12.00,https://hapasushi.com/pages/lodo,2025-08-12 20:16:55
Hapa Sushi,Sake Cocktails,Happy hour sake cocktail specials,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Happy Hour,Happy Hour,food,$7.50,https://hapasushi.com/pages/lodo,2025-08-12 20:16:55
